STATION,NAME,DATE,DAPR,MDPR,PRCP,SNOW,SNWD,TMAX,TMIN,TOBS,WT03
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2019-05-19,,,4.1,,,15.6,9.4,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2019-05-20,,,0.3,,,16.1,10.6,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2019-05-21,,,5.1,,,15,11.1,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2019-05-22,,,0,,,18.3,11.1,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2019-05-23,,,0,,,17.2,11.7,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2019-05-24,,,0,,,17.2,11.7,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2019-05-25,,,0,,,17.2,11.1,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2019-05-26,,,0.5,,,13.9,10.6,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2019-05-27,,,0,,,15.6,10,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2019-05-28,,,0,,,16.1,11.7,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2019-05-29,,,0,,,19.4,11.1,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2019-05-30,,,0,,,13.9,10,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2019-05-31,,,0,,,18.3,10.6,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2019-06-01,,,0,,,17.2,11.1,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2019-06-02,,,0,,,16.7,12.2,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2019-06-03,,,0,,,17.2,10.6,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2019-06-04,,,0,,,21.7,11.7,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2019-06-05,,,0,,,21.7,12.8,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2019-06-06,,,0,,,16.1,10.6,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2019-06-07,,,0,,,19.4,10.6,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2019-06-08,,,0,,,26.7,13.3,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2019-06-09,,,0,,,32.8,16.1,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2019-06-10,,,0,,,36.1,22.2,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2019-06-11,,,0,,,33.3,20,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2019-06-12,,,0,,,26.1,14.4,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2019-06-13,,,0,,,17.2,12.8,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2019-06-14,,,0,,,16.1,12.2,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2019-06-15,,,0,,,15,11.1,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2019-06-16,,,0,,,15,11.1,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2019-06-17,,,0,,,18.9,11.7,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2019-06-18,,,0,,,17.8,12.8,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2019-06-19,,,0,,,18.3,13.3,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2019-06-20,,,0,,,18.3,12.8,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2019-06-21,,,0,,,19.4,12.2,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2019-06-22,,,0,,,22.2,12.2,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2019-06-23,,,0,,,22.8,12.8,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2019-06-24,,,0,,,19.4,12.8,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2019-06-25,,,0,,,18.9,13.3,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2019-06-26,,,0,,,18.3,13.3,,
